Domain Code,Domain,Area Code (M49),country,Element Code,Element,Item Code (CPC),Item,Year Code,year,Unit,production_tonnes,Flag,Flag Description,Note,employment_agri_pct,rural_pop_growth_pct,investment_pct_gdp
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1986,1986,TRUE,713500,A,Official figure,NA,NA,0.564054063105807,18.0011626474892
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1987,1987,TRUE,651600,A,Official figure,NA,NA,0.540075291928942,19.9974887833835
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1988,1988,TRUE,708700,A,Official figure,NA,NA,0.525758818959703,21.9897406504351
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1989,1989,TRUE,664000,A,Official figure,NA,NA,0.523943559839303,19.9757541589656
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1990,1990,TRUE,845000,A,Official figure,NA,NA,0.531630303562423,20.606730546634
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1991,1991,TRUE,970740,A,Official figure,NA,19.9402464715792,0.46696877715997,19.1054638472664
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1992,1992,TRUE,1100000,X,Figure from external organization,Unofficial figure,19.8514055906666,0.433151246526078,20.5545014602291
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1993,1993,TRUE,818220,A,Official figure,NA,19.5778880515422,0.448988673153181,24.9421331103752
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1994,1994,TRUE,721860,A,Official figure,NA,19.2673602223689,0.374689122290616,25.5384467490805
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1995,1995,TRUE,821820,A,Official figure,NA,19.0416208701347,0.189694025911163,25.7987433287578
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1996,1996,TRUE,671401,A,Official figure,NA,19.0474855571189,-0.00137782614820371,22.1509386589832
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1997,1997,TRUE,642239,A,Official figure,NA,18.8786587833129,-0.100463937585194,20.9237506240474
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1998,1998,TRUE,766980,A,Official figure,NA,19.0676846396622,-0.127863022308059,19.7280791808155
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",1999,1999,TRUE,546720,A,Official figure,NA,19.6297752137424,-0.169259206898351,12.8801341708134
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",2000,2000,TRUE,637140,A,Official figure,NA,19.8551338444509,-0.213568399102931,14.8956270290748
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",2001,2001,TRUE,656160,A,Official figure,NA,19.9166008162037,-0.176063131924765,16.0322513515548
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",2002,2002,TRUE,696840,A,Official figure,NA,19.1861958968501,-0.0561042406296129,17.2515418448331
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",2003,2003,TRUE,694080,A,Official figure,NA,19.7551217413225,0.120983604347101,18.6818190163212
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",2004,2004,TRUE,674400,A,Official figure,NA,18.9835261001383,0.343101926914162,19.4409966142669
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",2005,2005,TRUE,667140,A,Official figure,NA,19.396178134368,0.583106724904027,21.6562413080915
QCL,Crops and livestock products,170,Colombia,5510,Production,01610,"Coffee, green",2006,2006,TRUE,724740,A,Official figure,NA,18.5860674461379,0.669058080960106,22.9389629039528
